CenterX,CenterY,tag
31.332271,-7.946958,TZA213
31.557347,-8.058053,TZA214
36.880242,-6.176836,TZA215
36.140757,-6.537364,TZA216
39.153636,-6.629592,TZA217
33.04107,-8.500315,TZA218
32.256535,-8.416036,TZA219
33.487366,-9.445569,TZA220
31.892578,-8.398856,TZA221
36.536499,-6.546002,TZA222
38.30549,-6.403661,TZA223
38.545146,-8.490878,TZA224
34.408777,-8.707302,TZA225
38.569278,-6.577832,TZA226
37.241421,-7.058594,TZA227
32.855327,-9.366376,TZA228
30.604168,-7.432283,TZA229
35.651903,-7.509618,TZA230
32.534698,-9.149676,TZA231
33.975993,-8.938066,TZA232
34.844143,-7.559099,TZA233
33.389916,-7.850821,TZA234
34.988292,-8.230826,TZA235
34.02767,-8.965708,TZA236
32.543206,-8.931474,TZA237
37.162203,-7.352918,TZA238
31.082308,-7.589265,TZA239
39.44544,-7.165981,TZA240
32.309775,-9.050098,TZA241
38.360355,-7.890211,TZA242
33.931058,-9.491504,TZA243
38.787814,-5.967786,TZA244
35.54891,-7.212268,TZA245
31.515291,-7.923742,TZA246
34.868592,-7.571654,TZA247
35.589714,-7.219948,TZA248
35.395367,-7.294443,TZA249
38.72141,-6.904771,TZA250
37.571749,-6.882319,TZA251
39.010632,-7.476047,TZA252
39.201711,-6.755901,TZA253
38.38167,-6.187935,TZA254
35.667251,-9.012808,TZA255
38.797887,-6.474964,TZA256
34.768141,-9.22914,TZA257
38.245034,-6.044986,TZA258
36.785498,-8.934845,TZA259
37.932606,-7.670336,TZA260
37.27466,-6.409386,TZA261
35.168252,-8.544696,TZA262
37.61993,-6.214712,TZA263
34.590062,-9.506487,TZA264
38.747275,-7.037225,TZA265
31.738785,-8.756458,TZA266
32.993115,-9.345451,TZA267
33.783571,-8.835091,TZA268
32.265803,-9.130774,TZA269
38.544386,-7.505864,TZA270
33.223339,-9.339277,TZA271
31.326836,-8.083466,TZA272
33.410312,-7.122812,TZA273
33.301411,-8.631627,TZA274
38.708737,-6.860626,TZA275
33.798706,-8.953951,TZA276
33.489503,-7.976052,TZA277
32.618784,-7.34445,TZA278
34.847617,-10.324267,TZA279
38.403161,-7.982498,TZA280
35.077202,-8.518848,TZA281
30.747996,-7.71635,TZA282
34.418187,-9.390464,TZA283
33.212096,-9.41296,TZA284
31.752885,-8.498,TZA285
34.724953,-10.258209,TZA286
31.254154,-7.935108,TZA287
31.810739,-8.22897,TZA288
37.208525,-6.567898,TZA289
31.424139,-8.080239,TZA290
32.894836,-8.883637,TZA291
32.801126,-8.223201,TZA292
31.784851,-8.060242,TZA293
31.818507,-8.081846,TZA294
34.832267,-10.369655,TZA295
32.869006,-9.06245,TZA296
34.775222,-9.04251,TZA297
34.685159,-9.661423,TZA298
31.729607,-8.129356,TZA299
33.060417,-9.205788,TZA300
35.060493,-8.415642,TZA301
35.304942,-8.255228,TZA302
34.824296,-9.046064,TZA303
34.595862,-9.09396,TZA304
32.361608,-9.120995,TZA305
33.406571,-7.877689,TZA306
35.132703,-9.515022,TZA307
34.934468,-8.211825,TZA308
31.236222,-7.98477,TZA309
38.423969,-5.968041,TZA310
33.496326,-9.423599,TZA311
37.239489,-6.506822,TZA312
34.646524,-9.909359,TZA313
35.395409,-8.643804,TZA314
33.30858,-9.200405,TZA315
33.353299,-7.065471,TZA316
37.33015,-6.765565,TZA317
35.23291,-9.910929,TZA318
36.168156,-7.656362,TZA319
38.881361,-7.166323,TZA320
33.444642,-6.875094,TZA321
35.24852,-9.89252,TZA322
36.381542,-8.158136,TZA323
30.774768,-7.780787,TZA324
36.680603,-8.144505,TZA325
37.092819,-7.253079,TZA326
36.590962,-8.097423,TZA327
34.541467,-9.046014,TZA328
34.402861,-9.640716,TZA329
35.217041,-7.977793,TZA330
39.054551,-7.038058,TZA331
36.669378,-6.342895,TZA332
34.068268,-7.305051,TZA333
32.543374,-7.948439,TZA334
35.238415,-9.308183,TZA335
34.8161,-9.261178,TZA336
38.550013,-7.72465,TZA337
33.666049,-8.811323,TZA338
39.201754,-7.114029,TZA339
35.194123,-9.253565,TZA340
31.291156,-7.990601,TZA341
34.652709,-9.911805,TZA342
38.19569,-7.085406,TZA343
32.241703,-7.106992,TZA344
33.523465,-8.853791,TZA345
32.915241,-9.076055,TZA346
34.911314,-8.578155,TZA347
35.438564,-7.055468,TZA348
31.499351,-8.482164,TZA349
33.715277,-9.367671,TZA350
34.946211,-8.839687,TZA351
36.481451,-7.187089,TZA352
34.966311,-6.523188,TZA353
35.428291,-8.611308,TZA354
36.800446,-7.369694,TZA355
38.988917,-6.559739,TZA356
34.71906,-10.234661,TZA357
31.73476,-7.350413,TZA358
35.41684,-8.210474,TZA359
35.173211,-8.50019,TZA360
35.093056,-8.54697,TZA361
32.63059,-7.675188,TZA362
31.364673,-8.233193,TZA363
34.724768,-9.09796,TZA364
32.546952,-8.691948,TZA365
34.404625,-9.511209,TZA366
38.561918,-8.003855,TZA367
36.212562,-7.684623,TZA368
31.285361,-8.066035,TZA369
38.431258,-7.649187,TZA370
34.647048,-9.745456,TZA371
34.520331,-9.79049,TZA372
31.663844,-7.331035,TZA373
39.207625,-7.523901,TZA374
33.449753,-7.176864,TZA375
33.658609,-6.778434,TZA376
37.110349,-7.930991,TZA377
32.795648,-7.33405,TZA378
38.143148,-6.666214,TZA379
31.736602,-8.828151,TZA380
36.816048,-7.180829,TZA381
39.247973,-6.883652,TZA382
34.98888,-8.829142,TZA383
33.763913,-9.406377,TZA384
31.927957,-7.124579,TZA385
33.449362,-9.124396,TZA386
38.69019,-6.699057,TZA387
39.097894,-6.749396,TZA388
32.603569,-7.679891,TZA389
37.356514,-6.226467,TZA390
39.237445,-8.036621,TZA391
35.17076,-9.586092,TZA392
37.275062,-7.204705,TZA393
35.165964,-9.591519,TZA394
32.017021,-8.281197,TZA395
35.252436,-9.904545,TZA396
39.453777,-6.93867,TZA397
36.77439,-8.639464,TZA398
32.689868,-7.483386,TZA399
35.90471,-9.232365,TZA400
